species	class	subclass	0percent	1percent	2percent	3percent	4percent	5percent	6percent
mymy	LTR	DIRS	9.48464414298569e-06	0	2.09660554739684e-06	2.44104788732632e-05	4.14329191509375e-06	1.89193691062715e-05	2.58082159048611e-05
mymy	LTR	Ngaro	2.04668636769691e-06	0	4.79224125119277e-06	0	8.4862605489872e-06	3.99353437599398e-06	7.08852351738931e-06
mymy	LTR	Pao	1.44765621129782e-05	1.44765621129782e-06	1.63235717618754e-05	3.53427792275467e-05	8.63601808808697e-06	4.47775041908324e-05	8.57112315447707e-05
mymy	LTR	Copia	3.3795284656849e-05	7.08852351738931e-06	3.92863944238407e-05	0.000123250454679114	3.45440723523479e-05	0.00012589617120321	0.000233521922636248
mymy	LTR	Gypsy	0.00012604592874231	2.97019119214552e-05	0.000115463062645926	0.000248048403928926	9.30493509606596e-05	0.000283640779054972	0.000446227547337627
mymy	LTR	ERVL	4.82219275901273e-05	0	6.28482472422052e-05	0.000107725589792437	0.000169275938362445	0.000690232497710859	0.000988998788214908
mymy	LTR	LTR	2.99515078199548e-06	0	5.64086730609149e-06	3.09498914139533e-06	0	1.59741375039759e-05	9.48464414298569e-06
mymy	LTR	ERV1	0.0369561671154482	0.0385680574279588	0.0462181717169723	0.0513586990849314	0.0480101704298402	0.0402934140359273	0.0456756999911732
mymy	LTR	ERV	0.000254787493188416	0.00206860088758518	0.00999202268545573	0.0140051253798921	0.0137693071749896	0.0123547473798329	0.0118579017842795
mymy	LTR	ERVK	0.000180258157896428	0.00050388419989104	0.00237026249051182	0.0137547806936969	0.0604810298216551	0.0387444718090183	0.036957864367558
mymy	LINE	L1	0.000528644113022202	0.00490206344653261	0.0425017387074926	0.0936573665694047	0.396552222830536	0.654942183541177	0.821387055465299
mymy	LINE	LINE	0	0	0	0	0	0	0
mymy	LINE	RTE	4.84216043089269e-06	0	1.26295524640809e-05	1.82205005904725e-05	4.642483712093e-06	3.07502146951536e-05	5.09674824736231e-05
mymy	LINE	CR1	1.07326236354838e-05	0	5.69078648579141e-06	2.10159746536683e-05	1.20804414873818e-05	1.51255114490772e-05	3.23975476252511e-05
mymy	LINE	Rex-Babar	4.49272617299322e-06	0	2.04668636769691e-06	7.53779613468863e-06	4.84216043089269e-06	3.69401929779443e-06	4.74232207149285e-06
mymy	LINE	L2	4.1732434229137e-05	0	2.64571652409601e-05	0.000104181328033743	3.79884957516427e-05	0.000150156892537373	0.000212905301420179
mymy	LINE	Proto2	0	0	0	0	0	3.89369601659413e-06	1.54749457069767e-06
mymy	LINE	R1	3.74393847749435e-06	1.44765621129782e-06	2.09660554739684e-06	5.84054402489119e-06	1.64733293009751e-06	7.58771531438855e-06	1.62736525821755e-05
mymy	LINE	Jockey-I	1.2579633284381e-05	4.2431302744936e-06	9.98383593998494e-06	1.54250265272767e-05	1.02833510181845e-05	9.73424004148531e-06	2.20642774273667e-05
mymy	LINE	Dong-R4	0	0	0	0	0	2.04668636769691e-06	1.54749457069767e-06
mymy	LINE	R2	0	0	1.89692882859714e-06	4.59256453239307e-06	1.59741375039759e-06	1.13316537918829e-05	3.2447466804951e-06
mymy	LINE	Penelope	1.22801182061815e-05	3.74393847749435e-06	1.99676718799699e-05	1.57744607851762e-05	2.77051447334582e-05	5.93039854835105e-05	9.8740137446451e-05
mymy	LINE	CRE	0	0	5.29143304819202e-06	0	0	7.63763449408848e-06	1.00337551196849e-05
mymy	Retroposon	SVA	0	0	0	0	0	0	0
mymy	SINE	SINE	1.24797949249812e-06	0	0	0	0	0	0
mymy	SINE	5S	4.99191796999247e-06	1.00337551196849e-05	1.5275268988177e-05	1.77213087934733e-05	5.04183714969239e-06	2.68065994988596e-05	1.96681568017703e-05
mymy	SINE	7SL	0	0	0	0	4.19321109479367e-06	0	0
mymy	SINE	Alu	0	5.44618250526178e-05	0.00012599600956261	5.25149770443208e-05	7.33312749791894e-05	2.60078926236608e-05	1.73718745355738e-05
mymy	SINE	tRNA	0.00144481081805492	0.0175580730758545	0.090744432676375	0.215078383150876	0.290197713227737	0.272607092846718	0.231602829691864
mymy	SINE	tRNA-Alu	0	7.4878769549887e-07	7.83731121288818e-06	3.99353437599398e-06	2.85537707883569e-05	2.61576501627605e-05	4.88209577465263e-05
mymy	SINE	tRNA-RTE	0	0	1.99676718799699e-06	3.69401929779443e-06	0	1.89692882859714e-06	1.79709046919729e-06
mymy	SINE	RTE	0	0	0	0	0	0	0
mymy	SINE	Deu	0	0	0	0	0	0	0
mymy	SINE	tRNA-V	0	0	0	0	0	0	0
mymy	SINE	MIR	1.01835126587846e-05	0	1.41770470347786e-05	5.20657044270215e-05	2.85537707883569e-05	9.24004016245606e-05	0.000103382621158544
mymy	SINE	U	1.79709046919729e-06	0	5.89046320459111e-06	3.59418093839458e-06	0	9.13520988508622e-06	3.54426175869465e-06
mymy	SINE	tRNA-7SL	0	0	0	0	0	0	0
mymy	SINE	tRNA-CR1	0	0	0	0	0	0	3.39450421959488e-06
drot	Unknown	Unknown	5.18458981732692e-06	0	1.98661852813462e-06	1.91393736247115e-05	1.0078454972e-05	1.58444941146346e-05	2.456623399425e-05
drot	Other	Other	0	0	0	0	0	1.84125619680769e-06	0
drot	DNA	CMC	3.25127081067885e-05	5.37840625909615e-06	8.70720364648269e-05	5.30087968238846e-05	7.14213587919615e-05	0.000152678902003712	0.000183592624465904
drot	DNA	Crypton	0	0	0	1.69589386548077e-06	0	5.57222270086538e-06	0
drot	DNA	Ginger	3.19797128919231e-06	0	0	0	4.45777816069231e-06	6.00830969484615e-06	1.55053153415385e-06
drot	DNA	Harbinger	2.13198085946154e-06	0	2.52445915404423e-05	2.54868620926538e-05	3.76972979241154e-05	2.04476346066538e-05	4.52561391531154e-05
drot	DNA	hAT	0.000474220378898865	0.00138137823459975	0.00370160331312965	0.00896599705035506	0.0158129989428471	0.022593376433481	0.0325411506696181
drot	DNA	Kolobok	1.56991317833077e-05	0	1.74919338696731e-05	1.16774406165962e-05	2.63105819701731e-05	3.10590847935192e-05	4.33664288458654e-05
drot	DNA	Maverick	7.12275423501923e-06	2.42270552211538e-06	1.22104358314615e-05	2.15620791468269e-05	1.7637296201e-05	4.23488925265769e-05	5.01984584182308e-05
drot	DNA	DNA	9.06091865271154e-06	3.53715006228846e-06	7.00646436995769e-05	0.000159704748017846	0.000255304707920519	0.000509349608969539	0.00104050356763812
drot	DNA	Merlin	0	0	1.79280208636538e-06	6.34748846794231e-06	0	5.28149803821154e-06	7.12275423501923e-06
drot	DNA	MULE	1.28887933776538e-05	6.39594257838462e-06	1.69589386548077e-05	6.00830969484615e-05	1.28887933776538e-05	7.70420356032692e-05	6.76903922879038e-05
drot	DNA	P	0	0	0	7.51038711855769e-06	0	7.36502478723077e-06	1.26949769358846e-05
drot	DNA	PiggyBac	7.51038711855769e-06	5.81449325307692e-06	3.16889882292692e-05	2.26280695765577e-05	6.90955614907308e-05	0.000173998710598327	0.00066580793158775
drot	DNA	TcMar	0.000282245193326442	2.97992779220192e-05	0.000313837273334827	0.000668085274778538	0.00110581970851435	0.00499464970439308	0.0142682334478359
drot	DNA	Zator	0	0	0	0	0	1.79280208636538e-06	3.34333362051923e-06
drot	DNA	Dada	0	0	3.87632883538462e-06	5.52376859042308e-06	6.88048368280769e-06	1.09506289599615e-05	1.63290352190577e-05
drot	RC	Helitron	1.75888420905577e-05	1.06599042973077e-06	3.57106793959808e-05	5.86294736351923e-05	4.36086993980769e-05	7.54915040691154e-05	0.000151370641021769
drot	LTR	DIRS	4.45777816069231e-06	0	0	1.60383105564038e-05	7.12275423501923e-06	2.12713544841731e-05	3.95870082313654e-05
drot	LTR	Ngaro	3.05260895786538e-06	0	0	3.48869595184615e-06	0	7.80111178121154e-06	1.55537694519808e-05
drot	LTR	Pao	1.78795667532115e-05	0	2.36456058958462e-05	3.87148342434038e-05	8.86710221094231e-06	4.07499068819808e-05	6.14398120408462e-05
drot	LTR	Copia	3.98777328940192e-05	0	3.49838677393462e-05	0.000160964554889346	5.49954153520192e-05	0.000161158371331115	0.000231223015030692
drot	LTR	Gypsy	8.92040173242885e-05	0	8.23719877519231e-05	0.000247794320801962	0.000229478667054769	0.000487302988718288	0.0011681801486536
drot	LTR	ERVL	3.74550273719038e-05	3.24642539963462e-06	7.92709246836154e-05	0.000467630619878712	0.00169230826130804	0.00324002945705623	0.00338214536298352
drot	LTR	LTR	0	0	0	3.14951717875e-06	0	1.09021748495192e-05	6.15367202617308e-06
drot	LTR	ERV1	4.50138686009038e-05	6.49285079926923e-06	0.000176809049003981	0.000391460758263404	0.000805161953219827	0.00166561004645433	0.0036115271218174
drot	LTR	ERV	5.57222270086538e-05	2.87332874922885e-05	0.000153841800654327	0.000311026934929173	0.000596615461876135	0.0012787039745725	0.00341150855391156
drot	LTR	ERVK	3.12044471248462e-05	2.53899538717692e-05	0.000321153844011615	0.00270751878329527	0.0121247205100891	0.0163693974930561	0.0135656488464224
drot	LINE	L1	0.0234915702787501	0.0841905674250438	0.113675862711397	0.140998941773372	0.153631606723228	0.215604656249492	0.286065315393714
drot	LINE	LINE	0	0	0	0	0	0	0
drot	LINE	RTE	1.0078454972e-05	0	1.98661852813462e-05	2.79095676147692e-05	4.50623227113461e-06	2.74734806207885e-05	6.35233387898654e-05
drot	LINE	CR1	6.54130490971154e-06	0	3.63405828317308e-06	2.14651709259423e-05	5.57222270086539e-06	2.40816928898269e-05	5.46562365789231e-05
drot	LINE	Rex-Babar	1.2598068715e-06	0	1.69589386548077e-06	4.21550760848077e-06	2.18043496990385e-06	9.49700564669231e-06	9.40009742580769e-06
drot	LINE	L2	3.70673944883654e-05	0	2.66013066328269e-05	0.000105290781991135	2.98477320324615e-05	0.000115853778067558	0.000215523883247385
drot	LINE	Proto2	0	0	0	3.19797128919231e-06	0	0	3.19797128919231e-06
drot	LINE	R1	1.55053153415385e-06	0	0	7.94647411253846e-06	2.18043496990385e-06	5.71758503219231e-06	9.20628098403846e-06
